Submission ID,Respondent ID,Submitted at,1. If you had moments of joy or satisfaction at PMCC please tell us why you felt that way.,1-1. If PMCC activities provided new insights or inspiration in your daily life what part of the conversation was it?,Rating,2-1. Which part of PMCC's philosophy do you resonate with most? Please freely share your thoughts!,2-2. How much would you recommend this philosophy (value) to your friends? Why do you want to invite your friends to PMCC?,2-3. Do you want to continue participating in PMCC activities in the future?,3. If there are areas PMCC should improve to provide a better community experience please let us know!,4. Below are projects PMCC is planning. Which sessions are you interested in? Which projects would you attend? (Multiple choice),4. Below are projects PMCC is planning. Which sessions are you interested in? Which projects would you attend? (Multiple choice) (2)
JYAEP4,7JGWl9,2024-08-26 9:15,The time drinking coffee and listening to the lives and attitudes of various people was very beneficial. It was a time that brought vitality to my boring life.,"While listening to stories from various occupations, I indirectly experienced lives I haven't experienced. Furthermore, I personally had time to imagine the future, which was very interesting.",5,"I strongly resonate with the aspect of connection. Regardless of age and gender, everyone became peers at PMCC, and we could feel psychological satisfaction by telling our own stories and listening to others.",I want to instill new insights to friends around me who have rigid thinking.,5,I hope more promotion is done so that not only members' acquaintances but also various other people can participate.,,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running)
752A66,j0NMba,2024-08-26 9:46,"- The refreshing feeling of running on Sunday morning. The happiness of being able to share this refreshment with people together. - Indirect experiences through conversations with people from various fields (carpenter, yoga instructor, doctor). - During coffee sessions, the conversations about content I never thought of sparked interest, and formed consensus about similar worries/thoughts.",Thoughts about the future and career / thoughts about well-being. * Where do we get happiness from? * I want to do so many things but time is finite. * Loose solidarity.,5,"'Deeply understanding each other'. It is quite difficult to truly understand. The process of trying to understand each other more in a comfortable atmosphere of respect through running and coffee sessions, and the philosophy of achieving genuine connection rather than one-time meetings through this process resonates with me.",Highly recommend. * Sharing the refreshing Sunday morning together. * Mutual motivation through connection with people from various fields who want to live healthy lives. * Comfortable atmosphere where each person's diversity is respected.,5,"It might be a good try to throw out a 'topic' to talk about during coffee sessions. (Of course, talking about each person's thoughts and concerns now is also good).",,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running)
Myz9JY,61ovjO,2024-08-26 10:27,Being able to feel and share the way of life and current concerns and values of various friends.,There are various ways of living and unique methods of each person!,5,Achieving genuine connection.,I want to connect many good people.,5,Opening an easy-to-manage open chat room and selecting dates and times when more people can participate through voting on running dates would be good!,,"Cohort learning projects in various fields (4-week personal writing project, design process development project, personal branding, exhibition studies, cafe tours and space studies, etc.)"
Oy5Wkk,96VvdX,2024-08-26 10:28,"It was good to have the experience of being able to naturally talk about each other's stories, starting with talking about the course we experienced together that day and how today's running was, rather than just focusing on running. The common experience seemed to give us a sense of bonding.","I could talk about various things with friends of my generation living in the same era about what thoughts they have these days. (Actually everything was good ??All conversations were meaningful,,)",4,"'Deeply understanding each other' Through the 'common experience' of running, I experienced becoming curious about the companions who ran with me today. The connection that comes from loose solidarity, which is not complicated and without tension, seemed to make my story and others' stories more honest.",I want to recommend it to friends who want to experience new networking.,5,As I lack experience with other communities to compare... I'll think more about the answer to this question!,,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running)
NyWK70,GoWDVz,2024-08-26 10:33,"- When introducing myself, I didn't feel like starting with social status like soldier/office worker. - I also like Seoul, and morning Seoul is the best. - The gathering is healthy and sound. - I have so many things I want to do outside of work, but I'll probably stay at this company for about 20 years. Just meeting these people feels like preparing for my second life (because I'm very curious about and looking forward to the members' futures).","The very fact that we created a community by naming a pure gathering that wasn't for profit, to learn something, or to get help. The very fact that there's a friend who reached out to be together.",5,I understood it as 'let's be friends'. Good.,It reminds me of Baek Se-hyeon.,5,(Let me think about it),,
zvqEYR,KP8NJ8,2024-08-26 10:59,When I feel the walls between us thinning while running together.,"I receive insights not only from other people's conversation topics, but also from their speaking manners and considerate attitudes toward others.",5,"The part about achieving genuine connection seems to be what needs the most attention going forward. Whether to do some business together through connection, create programs to connect members, or create your own brand through advertising revenue and profits, etc.","I think inspiration isn't only necessary for people who do art. Inspiration is always needed for the direction of our lives, but I think it can't be received just because someone intends it, so I want to give many opportunities to receive inspiration.",5,Just as an idea... how about creating several more routes to run in various places and go to new places after that?,,
qeddVY,z0bO9q,2024-08-26 12:05,"When everyone is satisfied, I am also satisfied. Although I'm a participant, I'm with the mindset of an owner. I'll extract my satisfaction and joy by myself.",It gives me energy. Everyone there is amazing. I'm so lacking that I think I'll have to work hard to match up with those people.,"I think it's enough distance to feel each other's breathing when running together and matching rhythms. The moment when out-of-breath exhalations mix with mine, the worried sighs when facing uphill, the relieved sighs when facing downhill. The harmony of these carbon dioxides... How beautiful is the moment when joys and sorrows meet?","I recommend it. We're more similar than we think. If it's good for me, it will be good for my friends too.",4,"It would be better if there were shower rooms, locker rooms, shuttle buses, various drinks, refreshments, and a more wonderful me..","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.), Ideation Session where specific topics are pre-selected and discussed in depth",,
j2yWMx,x0Kodd,2024-08-26 12:43,"When I felt the walls with other people breaking down in the process of running together, I liked being able to learn positive life attitudes by listening to the philosophies of myself and others while talking with them in the coffee session.","1. I should try writing a diary every day. When meeting someone with a different attitude from me, the enlightenment and self-reflection gained at that moment often disappears when the encounter ends, but I want to keep giving myself positive energy by reviewing the points I felt at that moment. As a means to do that, I should write a diary so I can reflect back on that time and learn from my past self even in the distant future. (Stories about discovering current concerns in past diaries, attitude of continuously taking notes of inspiration during conversations) 2. To be satisfied with what I like itself without comparing with others, I need an experience of extreme immersion, which requires effort to focus on what I like. Let's focus on one thing. (From stories about exercise experiences) 3. Inferiority complex is healthy. I must face my shortcomings and use them as opportunities for growth. Let's face our shortcomings. (From the story that passion arises from inferiority complex and desire)",4,"The time spent sweating with people together seems to help people who don't know each other get closer. I think the three philosophies are deeply connected, and I think long-term interaction is necessary to achieve the third goal. Each meeting time doesn't need to be long, but if meeting opportunities continue long-term and we can share life problems, concerns, and inspirations during that process, we can achieve genuine connection.","I think people need a group they can rely on. There may be cases when they can't rely on family, so I think the more such groups there are, the better. Individuals belonging to a group with a culture of listening will feel understood and accepted by that group and will be able to rely on that group. I have a desire to introduce such a support to my friends.",5,?ëç I'll think more while participating more.,"Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
OyzE5a,OjvqJk,2024-08-26 13:49,"While running, at some point I became curious about the person next to me. I'm usually not curious about people. That in itself was already a big event for me..!","When talking about each other's passions, and hearing experiences of turning it into something continuous rather than just a momentary emotion, I wanted to apply it to my own life. And also lifestyles I can't meet in my small world! An experience that broadens thinking.",5,'Breaking down physical and mental walls' while strangers. Such a precious experience.,"I don't want to invite just anyone, but I'm convinced this can help many people. So many of my peers who are lonely and lost!",5,I'll observe closely and talk without reservation when I think of something. Nothing yet.,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
lZy2Bp,o0WJZb,2024-08-26 14:49,#NAME?,"Sharing each other's concerns and talking comfortably was good! Usually many gatherings are uncomfortable and cautious, so we mainly have only superficial talks before parting, but at PMCC, I could hear the inner stories of each person, so even if it was the first time meeting, they remained more vividly in memory!",5,"Deeply understanding each other. Don't you think if we only emphasize 'sameness with me' while living, the understanding heart gradually disappears? I think a lot these days. The love felt when meeting people with various thoughts and understanding them had been forgotten a lot, but thanks to PMCC, it seemed to have awakened a bit!","I think I would recommend it to friends who want to live life rather than just survive, or friends who want to get insights while being healthy!",3,"I think you're doing well! I expect you'll continue to build up steadily and become clearer and grow more! I think highly of the fact that you've started, are practicing, and are implementing! I think you'll become an even better community if you don't forget sincerity-diligence-passion as you are now!",Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
